A�o;Tipo territorio;C�digo territorio;Territorio;Valor;Estado dato
2021;Comunidad de Madrid;;Comunidad de Madrid;2281;Provisional
2021;Municipios;0014;Acebeda (La);-;Provisional
2021;Municipios;0029;Ajalvir;2284;Provisional
2021;Municipios;0035;Alameda del Valle;-;Provisional
2021;Municipios;0040;�lamo (El);2962;Provisional
2021;Municipios;0053;Alcal� de Henares;2452;Provisional
2021;Municipios;0066;Alcobendas;2311;Provisional
2021;Municipios;0072;Alcorc�n;2055;Provisional
2021;Municipios;0088;Aldea del Fresno;2440;Provisional
2021;Municipios;0091;Algete;2825;Provisional
2021;Municipios;0105;Alpedrete;2341;Provisional
2021;Municipios;0112;Ambite;-;Provisional
2021;Municipios;0127;Anchuelo;2971;Provisional
2021;Municipios;0133;Aranjuez;3000;Provisional
2021;Municipios;0148;Arganda del Rey;2846;Provisional
2021;Municipios;0151;Arroyomolinos;2839;Provisional
2021;Municipios;0164;Atazar (El);-;Provisional
2021;Municipios;0170;Batres;3588;Provisional
2021;Municipios;0186;Becerril de la Sierra;2256;Provisional
2021;Municipios;0199;Belmonte de Tajo;3456;Provisional
2021;Municipios;0210;Berrueco (El);-;Provisional
2021;Municipios;0203;Berzosa del Lozoya;-;Provisional
2021;Municipios;0225;Boadilla del Monte;3096;Provisional
2021;Municipios;0231;Boalo (El);2291;Provisional
2021;Municipios;0246;Braojos;-;Provisional
2021;Municipios;0259;Brea de Tajo;-;Provisional
2021;Municipios;0262;Brunete;2608;Provisional
2021;Municipios;0278;Buitrago del Lozoya;2009;Provisional
2021;Municipios;0284;Bustarviejo;1738;Provisional
2021;Municipios;0297;Cabanillas de la Sierra;-;Provisional
2021;Municipios;0301;Cabrera (La);2327;Provisional
2021;Municipios;0318;Cadalso de los Vidrios;1897;Provisional
2021;Municipios;0323;Camarma de Esteruelas;2921;Provisional
2021;Municipios;0339;Campo Real;3396;Provisional
2021;Municipios;0344;Canencia;-;Provisional
2021;Municipios;0357;Caraba�a;2696;Provisional
2021;Municipios;0360;Casarrubuelos;3133;Provisional
2021;Municipios;0376;Cenicientos;1694;Provisional
2021;Municipios;0382;Cercedilla;1927;Provisional
2021;Municipios;0395;Cervera de Buitrago;-;Provisional
2021;Municipios;0513;Chapiner�a;2561;Provisional
2021;Municipios;0528;Chinch�n;2492;Provisional
2021;Municipios;0409;Ciempozuelos;2948;Provisional
2021;Municipios;0416;Cobe�a;3217;Provisional
2021;Municipios;0468;Collado Mediano;2393;Provisional
2021;Municipios;0474;Collado Villalba;2127;Provisional
2021;Municipios;0437;Colmenar de Oreja;3108;Provisional
2021;Municipios;0421;Colmenar del Arroyo;2436;Provisional
2021;Municipios;0455;Colmenar Viejo;2386;Provisional
2021;Municipios;0442;Colmenarejo;2532;Provisional
2021;Municipios;0480;Corpa;-;Provisional
2021;Municipios;0493;Coslada;2508;Provisional
2021;Municipios;0506;Cubas de la Sagra;3394;Provisional
2021;Municipios;0534;Daganzo de Arriba;2962;Provisional
2021;Municipios;0549;Escorial (El);2300;Provisional
2021;Municipios;0552;Estremera;1932;Provisional
2021;Municipios;0565;Fresnedillas de la Oliva;2178;Provisional
2021;Municipios;0571;Fresno de Torote;2888;Provisional
2021;Municipios;0587;Fuenlabrada;2268;Provisional
2021;Municipios;0590;Fuente el Saz de Jarama;3116;Provisional
2021;Municipios;0604;Fuentidue�a de Tajo;2295;Provisional
2021;Municipios;0611;Galapagar;2499;Provisional
